City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Otradnoye,RU,59.7775,30.8181,83.03,39,5,7.49,clear sky
242,Tura,IN,25.5198,90.2201,77.07,88,55,3.56,broken clouds
243,Skibbereen,IE,51.55,-9.2667,60.12,62,2,12.46,clear sky
244,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,19.57,light intensity shower rain
245,Fukue,JP,32.6881,128.8419,79.45,92,87,21.92,overcast clouds
246,Pisco,PE,-13.7,-76.2167,62.65,72,75,5.75,haze
247,Mosetse,BW,-20.75,26.65,75.34,27,1,3.71,clear sky
248,Batemans Bay,AU,-35.7167,150.1833,51.66,77,91,14.05,overcast clouds
249,Bilma,NE,18.6853,12.9164,106.12,8,0,5.3,clear sky
250,Marrakesh,MA,31.6315,-8.0083,95.07,29,10,3.44,clear sky
251,Tarko-Sale,RU,64.9225,77.785,57.42,47,30,10.54,scattered clouds
252,Tuatapere,NZ,-46.1333,167.6833,48.47,84,70,4.47,broken clouds
253,Areosa,PT,41.7178,-8.8571,72.36,71,9,8.52,clear sky
254,Benghazi,LY,32.1167,20.0667,83.3,73,0,12.19,clear sky
255,Morant Bay,JM,17.8815,-76.4093,93.7,80,91,13.82,overcast clouds
256,Letka,RU,59.6011,49.4232,65.71,57,100,3.6,overcast clouds
257,Katobu,ID,-4.9408,122.5276,74.55,93,15,3.56,few clouds
258,Torbay,CA,47.6666,-52.7314,76.87,74,75,6.91,broken clouds
259,Namibe,AO,-15.1961,12.1522,73.54,56,0,18.95,clear sky
260,Mayo,US,38.8876,-76.5119,85.12,45,0,5.75,clear sky
261,Chino,US,34.0122,-117.6889,71.19,79,20,4.61,few clouds
262,Hunsur,IN,12.3075,76.2878,71.22,93,100,12.26,overcast clouds
263,Hobbs,US,32.7026,-103.136,81.19,55,0,16.11,clear sky
264,Asfi,MA,32.2994,-9.2372,72.99,71,6,20.09,clear sky
265,Barbate,ES,36.1924,-5.9219,78.35,53,12,12.93,few clouds
266,Dargaville,NZ,-35.9333,173.8833,50.85,90,100,4.97,overcast clouds
267,Ambon,ID,-3.6954,128.1814,81.23,13,40,8.05,moderate rain
268,Lannion,FR,48.75,-3.4167,65.01,67,100,11.5,overcast clouds
269,Vanersborg,SE,58.3807,12.3234,64.9,63,40,16.11,scattered clouds
270,Leningradskiy,RU,69.3833,178.4167,44.04,77,100,3.04,overcast clouds
271,Raymondville,US,26.4815,-97.7831,90.09,51,44,15.28,scattered clouds
272,Sorong,ID,-0.8833,131.25,78.53,87,100,7.2,overcast clouds
273,Korla,CN,41.7597,86.1469,89.29,17,0,7.07,clear sky
274,Asau,RO,46.4333,26.4,83.32,57,100,1.39,overcast clouds
275,Zhengjiatun,CN,43.5064,123.5064,72.16,91,100,8.28,overcast clouds
276,Klyuchi,RU,52.2667,79.1667,76.66,36,84,15.95,broken clouds
277,Saint-Philippe,RE,-21.3585,55.7679,69.22,73,32,12.03,scattered clouds
278,Lugovoy,KZ,42.9472,72.7644,85.75,29,66,18.59,broken clouds
279,Yellowknife,CA,62.456,-114.3525,63.12,55,20,5.75,few clouds
280,Tam Ky,VN,15.5667,108.4833,81.09,79,100,5.03,overcast clouds
281,Samfya,ZM,-11.3649,29.5565,76.28,31,0,3.89,clear sky
282,Novo Aripuana,BR,-5.1206,-60.3797,85.77,63,25,4.27,scattered clouds
283,Jati,PK,24.3539,68.2671,90.82,61,34,11.27,light rain
284,Najran,SA,17.4924,44.1277,99.25,25,100,23.89,overcast clouds
285,Penzance,GB,50.1186,-5.5371,60.12,88,40,9.22,fog
286,Ypsonas,CY,34.6884,32.9574,83.37,70,20,11.5,few clouds
287,Nishihara,JP,26.1842,127.7558,81.68,94,40,4.61,scattered clouds
288,Nanortalik,GL,60.1432,-45.2371,46.87,89,100,14.32,overcast clouds
289,Maumere,ID,-8.6199,122.2111,78.39,84,100,9.6,overcast clouds
290,Katherine,AU,-14.4667,132.2667,57.52,51,5,11.5,clear sky
291,Huarmey,PE,-10.0681,-78.1522,65.66,76,31,7.52,scattered clouds
292,Wanlaweyn,SO,2.6185,44.8938,80.17,55,74,22.08,broken clouds
293,Vaitape,PF,-16.5167,-151.75,77.7,77,18,8.43,light rain
294,Otuzco,PE,-7.9,-78.5833,60.24,38,6,2.35,clear sky
295,Bengkulu,ID,-3.8004,102.2655,77.14,89,95,4.65,overcast clouds
296,Koumac,NC,-20.5667,164.2833,72.03,80,89,5.12,overcast clouds
297,Amparafaravola,MG,-17.5833,48.2167,59.95,84,11,8.48,few clouds
298,Mopti,ML,14.6667,-4,96.84,38,20,4.61,few clouds
299,Bonaventure,CA,48.0457,-65.4926,64.98,48,46,14.97,scattered clouds
300,Tevriz,RU,57.509,72.4042,56.46,93,100,6.93,light rain
301,Ruteng,ID,-8.6136,120.4721,63.09,94,92,4.36,overcast clouds
302,Flinders,AU,-34.5833,150.8552,56.37,92,100,5.99,light rain
303,Alofi,NU,-19.0595,-169.9187,73.29,94,75,13.8,light intensity drizzle
304,Scarborough,GB,54.2797,-0.4044,66.78,57,100,5.99,overcast clouds
305,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,66,0,12.62,clear sky
306,New Smyrna Beach,US,29.0258,-80.927,90.1,65,26,2.08,scattered clouds
307,Magistralnyy,RU,56.1725,107.4458,61.54,71,100,7.61,overcast clouds
308,Fairbanks,US,64.8378,-147.7164,62.56,83,75,4.61,smoke
309,Kahului,US,20.8947,-156.47,76.84,80,0,18.41,clear sky
310,Stornoway,GB,58.2093,-6.3865,55.92,78,75,14.97,broken clouds
311,Rocha,UY,-34.4833,-54.3333,55.94,94,100,10.63,overcast clouds
312,Tchollire,CM,8.4022,14.1698,87.8,51,19,4.07,few clouds
313,Norman Wells,CA,65.282,-126.8329,66.24,59,20,20.71,few clouds
314,Canutama,BR,-6.5339,-64.3831,91.17,40,48,3.8,scattered clouds
315,Hun,LY,29.1268,15.9477,97.07,20,0,14.32,clear sky
316,Miami,US,25.7743,-80.1937,91.02,68,40,9.22,scattered clouds
317,Carlow,IE,52.8408,-6.9261,64.13,68,100,10.83,overcast clouds
318,White Rock,CA,49.0164,-122.8026,60.35,95,94,3,overcast clouds
319,Ulaangom,MN,49.9811,92.0667,63.01,31,1,4.47,clear sky
320,Rakovski,BG,42.3,24.9667,91.06,25,11,7.9,light rain
321,Nyurba,RU,63.2842,118.3319,64.98,57,100,4.5,overcast clouds
322,Port Macquarie,AU,-31.4333,152.9167,50.9,84,100,4.09,overcast clouds
323,Hareid,NO,62.3714,6.0263,63.3,90,100,3.58,overcast clouds
324,Turukhansk,RU,65.8167,87.9833,53.31,86,100,3.62,overcast clouds
325,Tartagal,AR,-22.5164,-63.8013,67.87,61,100,3.6,overcast clouds
326,Gamba,GA,-2.65,10,76.73,68,13,10.83,few clouds
327,Notse,TG,6.95,1.1667,83.17,69,91,6.11,light rain
